id,created_at,,,,,
1781090822034768255,"Apr 18, 6:41:57 PM EDT",,,,,
1781091220816560330,"Apr 18, 6:43:32 PM EDT",,,,,
1781094892866781255,"Apr 18, 6:58:08 PM EDT",,,,,
1781098833700655158,"Apr 18, 7:13:47 PM EDT",,,,,
1781100981037494538,"Apr 18, 7:22:19 PM EDT",,,,,
1781115210725511216,"Apr 18, 8:18:52 PM EDT",,,,,
1781115316879212627,"Apr 18, 8:19:17 PM EDT",,,,,
1781159551598743602,"Apr 18, 11:15:04 PM EDT",,,,,
1781159615167619449,"Apr 18, 11:15:19 PM EDT",,,,,
1781159792288899126,"Apr 18, 11:16:01 PM EDT",,,,,
1781168624503275811,"Apr 18, 11:51:07 PM EDT",,,,,
1781183251731677264,"Apr 19, 12:49:14 AM EDT",,,,,
1781369713458552923, yes," but not if your enemies are still alive and have a lot of t…""","Apr 19, 1:10:10 PM EDT",,,
1781384773388107994,"Apr 19, 2:10:01 PM EDT",,,,,
1781387457193230338,"Apr 19, 2:20:41 PM EDT",,,,,
1781390448717623490,"Apr 19, 2:32:34 PM EDT",,,,,
1781393250021941446,"Apr 19, 2:43:42 PM EDT",,,,,
1781394185951563973,"Apr 19, 2:47:25 PM EDT",,,,,
1781394539376222499,"Apr 19, 2:48:49 PM EDT",,,,,
1781394906491003000,"Apr 19, 2:50:17 PM EDT",,,,,
1781411339744764027,"Apr 19, 3:55:35 PM EDT",,,,,
1781433998079656088,"Apr 19, 5:25:37 PM EDT",,,,,
1781531716751876196,"Apr 19, 11:53:55 PM EDT",,,,,
1781534209837826524,"Apr 20, 12:03:49 AM EDT",,,,,
1781542250075316331,"Apr 20, 12:35:46 AM EDT",,,,,
1781542490853503202,"Apr 20, 12:36:43 AM EDT",,,,,
1781544288179851750,"Apr 20, 12:43:52 AM EDT",,,,,
1781544584100659557,"Apr 20, 12:45:03 AM EDT",,,,,
1781544984404959721,"Apr 20, 12:46:38 AM EDT",,,,,
1781548457733292032,"Apr 20, 1:00:26 AM EDT",,,,,
1781559444196765877,"Apr 20, 1:44:05 AM EDT",,,,,
1781562388640108908,"Apr 20, 1:55:47 AM EDT",,,,,
1781608499715129573,"Apr 20, 4:59:01 AM EDT",,,,,
1781609025504755762,"Apr 20, 5:01:07 AM EDT",,,,,
1781610721282830454,"Apr 20, 5:07:51 AM EDT",,,,,
1781616840935903351,"Apr 20, 5:32:10 AM EDT",,,,,
